"Codigo","Fechin","CSUM","MSUM","DSUM"
231,"2024-06-17",93,25,21
464,"2024-05-20",94,25,23
466,"2024-05-20",91,19,21
480,"2024-05-20",83,26,28
500,"2024-05-20",116,32,25
504,"2024-05-20",92,24,22
532,"2024-05-20",73,18,16
957,"2024-06-17",90,29,34
978,"2024-05-20",78,19,20
1039,"2024-06-17",85,28,31
1158,"2024-06-17",53,11,17
1180,"2024-05-20",76,24,16
1385,"2024-06-17",62,17,17
1415,"2024-05-20",66,29,27
1457,"2024-04-29",62,23,15
1458,"2024-05-20",57,20,22
2110,"2024-06-17",71,21,25
2347,"2024-06-17",50,26,19
2511,"2024-06-17",83,22,20
2705,"2024-08-12",102,22,23
2835,"2024-08-12",121,29,36
2836,"2024-08-12",133,31,36
2839,"2024-08-12",134,32,26
2840,"2024-08-12",132,24,19
2841,"2024-08-12",100,27,20
2842,"2024-08-12",117,30,24
2843,"2024-08-12",99,30,23
2844,"2024-08-12",112,29,24
2846,"2024-08-12",131,24,23
2848,"2024-08-12",125,33,25
2849,"2024-08-12",143,35,28
2880,"2024-08-12",127,35,24
2881,"2024-08-12",109,22,25
2882,"2024-08-12",124,20,20
2883,"2024-08-12",107,24,19
2884,"2024-08-12",125,35,23
2885,"2024-08-12",119,33,23
2889,"2024-08-12",105,29,24
2890,"2024-08-12",92,28,22
2891,"2024-08-12",138,34,30
2892,"2024-08-12",132,27,29
2893,"2024-08-12",107,28,29
2894,"2024-08-12",103,27,30
2895,"2024-08-12",146,34,31
2896,"2024-08-12",108,20,28
2897,"2024-08-12",124,32,32
2900,"2024-08-12",114,30,28
2901,"2024-08-12",82,28,29
2902,"2024-08-12",133,34,32
2903,"2024-08-12",135,31,31
2904,"2024-08-12",99,18,27
2905,"2024-08-12",144,33,31
2906,"2024-08-12",119,31,30
2907,"2024-08-12",119,30,31
2908,"2024-08-12",129,31,31
2910,"2024-08-12",121,32,24
2911,"2024-08-12",152,33,28
2912,"2024-08-12",90,31,21
2913,"2024-08-12",128,27,25
2914,"2024-08-12",134,34,23
2915,"2024-08-12",100,29,25
2916,"2024-08-12",149,32,27
2918,"2024-08-12",130,31,28
2919,"2024-08-12",117,29,18
2920,"2024-08-12",143,32,28
2921,"2024-08-12",132,28,27
2922,"2024-08-12",110,21,22
2923,"2024-08-12",133,28,20
2924,"2024-08-12",141,32,20
2925,"2024-08-12",144,31,27
2926,"2024-08-12",108,28,17
2927,"2024-08-12",147,30,24
2928,"2024-08-12",121,31,29
2935,"2024-08-12",128,30,36
2940,"2024-08-12",155,33,30
2943,"2024-08-12",136,28,22
2946,"2024-08-12",137,33,21
2948,"2024-08-12",79,26,17
2950,"2024-08-12",135,29,20
2952,"2024-08-12",118,30,18
2955,"2024-08-12",115,26,15
2957,"2024-08-12",93,23,17
2958,"2024-08-12",128,23,19
2960,"2024-08-12",129,26,29
2961,"2024-08-12",104,30,17
2963,"2024-08-12",58,17,20
2964,"2024-08-12",126,30,28
2965,"2024-08-12",85,28,24
2966,"2024-08-12",110,15,23
2967,"2024-08-12",134,32,19
2969,"2024-08-12",130,32,26
2972,"2024-08-12",143,33,24
2973,"2024-08-12",145,31,30
2974,"2024-08-12",142,33,29
2975,"2024-08-12",99,27,23
2976,"2024-08-12",145,32,31
2977,"2024-08-12",121,31,26
2978,"2024-08-12",125,27,20
2979,"2024-08-12",154,35,30
2980,"2024-08-12",88,32,23
2981,"2024-08-12",115,30,25
2982,"2024-08-12",144,32,21
2983,"2024-08-12",116,32,25
2984,"2024-08-12",112,29,19
2985,"2024-08-12",109,28,20
2986,"2024-08-12",125,30,23
2987,"2024-08-12",93,34,30
2988,"2024-08-12",85,19,18
2989,"2024-08-12",85,20,17
2990,"2024-08-12",155,36,31
2991,"2024-08-12",152,36,31
3185,"2024-08-12",129,28,36
3208,"2024-08-12",93,30,24
3209,"2024-08-12",120,31,25
3241,"2024-08-12",103,30,26
3298,"2024-08-12",145,31,28
3306,"2024-08-12",96,24,24
3308,"2024-08-12",132,29,34
3336,"2024-08-12",156,35,30
3343,"2024-08-12",79,15,22
3388,"2024-08-12",102,32,33
3409,"2024-08-12",109,30,24
3436,"2024-08-12",125,32,29
3454,"2024-08-12",92,30,24
3461,"2024-08-12",73,29,24
3519,"2024-08-12",143,32,30
2620,"2024-08-12",87,24,24
2627,"2024-08-12",134,33,33
2630,"2024-08-12",126,30,33
2633,"2024-08-12",130,32,31
2637,"2024-08-12",113,28,26
2640,"2024-08-12",129,30,34
2645,"2024-08-12",129,28,30
2651,"2024-08-12",112,27,25
2652,"2024-08-12",107,30,26
2655,"2024-08-12",121,27,31
2669,"2024-08-12",120,29,31
2670,"2024-08-12",105,26,29
2673,"2024-08-12",149,35,32
2685,"2024-08-12",101,29,26
2686,"2024-08-12",117,29,31
2687,"2024-08-12",113,23,28
2688,"2024-08-12",108,31,32
2689,"2024-08-12",121,28,29
2690,"2024-08-12",139,25,33
2691,"2024-08-12",121,28,30
2692,"2024-08-12",131,34,35
2693,"2024-08-12",96,22,28
2694,"2024-08-12",112,28,27
2695,"2024-08-12",117,30,30
2696,"2024-08-12",139,23,32
2697,"2024-08-12",88,26,23
2700,"2024-08-12",130,28,35
2702,"2024-08-12",116,26,27
2703,"2024-08-12",105,33,31
2706,"2024-08-12",107,29,32
2708,"2024-08-12",128,32,34
2711,"2024-08-12",123,25,31
2712,"2024-08-12",122,32,33
2714,"2024-08-12",136,29,33
2715,"2024-08-12",103,24,24
2718,"2024-08-12",114,31,25
2720,"2024-08-12",125,33,33
2721,"2024-08-12",83,22,19
2724,"2024-08-12",120,29,25
2725,"2024-08-12",110,31,28
2730,"2024-08-12",121,29,27
2734,"2024-08-12",114,28,29
2735,"2024-08-12",140,31,34
2740,"2024-08-12",101,21,23
2741,"2024-08-12",136,35,33
2742,"2024-08-12",111,30,27
2744,"2024-08-12",142,34,32
2745,"2024-08-12",131,28,33
2747,"2024-08-12",98,24,27
2750,"2024-08-12",132,33,36
2752,"2024-08-12",111,31,28
2755,"2024-08-12",95,23,27
2757,"2024-08-12",86,20,18
2759,"2024-08-12",76,20,18
2764,"2024-08-12",117,30,30
2765,"2024-08-12",120,32,30
2767,"2024-08-12",143,32,29
2774,"2024-08-12",115,27,32
2775,"2024-08-12",78,28,27
2777,"2024-08-12",114,29,28
2778,"2024-08-12",97,25,28
2780,"2024-08-12",120,27,30
2783,"2024-08-12",110,28,31
2785,"2024-08-12",125,25,31
3252,"2024-08-12",107,33,25
3258,"2024-08-12",87,30,22
3284,"2024-08-12",93,28,23
3290,"2024-08-12",73,24,19
1072,"2024-05-20",146,36,34
939,"2024-04-29",143,30,30
940,"2024-04-29",145,31,30
3330,"2024-08-12",98,31,22
3446,"2024-08-12",86,27,19
2115,"2024-05-20",50,22,13
2117,"2024-05-20",59,23,24
534,"2024-04-29",49,14,19
540,"2024-04-29",71,23,23
287,"2024-04-29",66,23,28
288,"2024-04-29",83,25,28
1095,"2024-04-29",57,20,15
217,"2024-06-17",91,27,26
218,"2024-06-17",69,21,17
1094,"2024-04-29",55,18,13
1101,"2024-04-29",55,18,19
1104,"2024-04-29",51,18,16
1098,"2024-04-29",55,18,13
1096,"2024-04-29",71,19,18
1092,"2024-04-29",65,21,15
103,"2024-04-29",48,16,16
3367,"2024-08-12",145,36,31
3369,"2024-08-12",130,33,32
1099,"2024-04-29",52,18,15
108,"2024-04-29",40,14,13
1103,"2024-04-29",48,18,11
104,"2024-04-29",60,13,15
1093,"2024-04-29",56,15,16
106,"2024-04-29",45,13,13
1380,"2024-04-29",98,27,25
1381,"2024-04-29",98,26,25
3171,"2024-08-12",94,28,21
3173,"2024-08-12",111,31,24
1091,"2024-04-29",52,17,13
3423,"2024-08-12",123,32,28
3427,"2024-08-12",87,27,25
1396,"2024-04-29",78,19,21
1447,"2024-04-29",67,17,19
837,"2024-06-17",56,25,26
2242,"2024-06-17",88,24,16
910,"2024-04-29",42,14,15
911,"2024-04-29",39,17,19
800,"2024-04-29",70,21,21
801,"2024-04-29",75,22,21
2198,"2024-06-17",117,35,34
2199,"2024-06-17",87,30,34
3374,"2024-08-12",75,24,21
2282,"2024-06-17",97,22,28
2283,"2024-06-17",116,27,30
17,"2024-06-17",53,21,23
167,"2024-06-17",80,19,20
168,"2024-06-17",79,21,26
1057,"2024-04-29",90,22,23
1058,"2024-04-29",70,21,20
1842,"2024-05-20",117,32,28
1066,"2024-06-17",58,16,22
1841,"2024-05-20",116,31,28
1837,"2024-05-20",104,32,29
2188,"2024-06-17",63,21,23
150,"2024-06-17",83,22,23
153,"2024-06-17",82,21,26
152,"2024-06-17",80,21,21
148,"2024-06-17",61,20,20
151,"2024-06-17",71,17,18
3162,"2024-08-12",119,34,32
149,"2024-06-17",95,29,26
847,"2024-05-20",103,33,31
3458,"2024-08-12",116,34,31
1282,"2024-06-17",67,22,23
3204,"2024-08-12",75,33,23
1436,"2024-04-29",62,21,19
2572,"2024-05-20",124,29,28
3401,"2024-08-12",68,26,17
891,"2024-04-29",78,27,24
2353,"2024-06-17",98,35,31
1435,"2024-04-29",67,24,23
1437,"2024-04-29",71,14,22
1697,"2024-04-29",90,18,19
1438,"2024-04-29",67,25,19
1991,"2024-04-29",83,22,21
1992,"2024-04-29",96,24,24
1993,"2024-04-29",92,22,21
1987,"2024-04-29",71,26,26
1986,"2024-04-29",69,23,23
2121,"2024-05-20",74,24,23
1974,"2024-05-20",133,36,23
2119,"2024-05-20",77,27,26
1972,"2024-05-20",129,36,27
2122,"2024-05-20",59,22,19
2111,"2024-05-20",55,22,23
2113,"2024-05-20",69,23,24
2092,"2024-05-20",92,32,30
2112,"2024-05-20",72,25,23
1929,"2024-04-29",86,22,21
1970,"2024-05-20",78,27,25
1009,"2024-04-29",62,19,17
1003,"2024-04-29",59,19,17
1006,"2024-04-29",51,17,18
999,"2024-04-29",65,19,21
1004,"2024-04-29",68,18,18
1005,"2024-04-29",68,22,19
1010,"2024-04-29",69,22,21
1000,"2024-04-29",54,17,14
1012,"2024-04-29",59,18,18
1928,"2024-04-29",84,18,21
1931,"2024-04-29",97,28,28
1933,"2024-04-29",88,26,16
2079,"2024-04-29",65,21,20
1935,"2024-04-29",92,22,25
2075,"2024-04-29",72,23,22
884,"2024-06-17",106,31,32
1290,"2024-06-17",49,22,19
1088,"2024-06-17",132,36,28
781,"2024-05-20",92,22,24
2142,"2024-04-29",76,27,21
1849,"2024-05-20",134,36,32
1524,"2024-05-20",65,27,20
560,"2024-04-29",67,24,21
578,"2024-04-29",74,21,23
564,"2024-04-29",103,28,28
577,"2024-04-29",72,21,23
575,"2024-04-29",61,21,18
558,"2024-04-29",53,21,16
574,"2024-04-29",76,21,21
565,"2024-04-29",96,24,27
1391,"2024-04-29",96,31,24
3441,"2024-08-12",80,28,17
3165,"2024-08-12",81,30,25
3499,"2024-08-12",105,36,24
3170,"2024-08-12",69,22,22
1975,"2024-05-20",134,35,30
1973,"2024-05-20",122,33,26
1071,"2024-05-20",150,35,34
2009,"2024-05-20",81,27,21
3431,"2024-08-12",113,30,26
3226,"2024-08-12",109,30,19
1176,"2024-05-20",64,22,21
3207,"2024-08-12",100,32,25
3234,"2024-08-12",81,25,22
3472,"2024-08-12",108,25,24
3495,"2024-08-12",76,22,21
3286,"2024-08-12",65,15,17
3395,"2024-08-12",143,24,31
2008,"2024-05-20",78,27,21
2091,"2024-05-20",85,34,29
2107,"2024-05-20",73,30,24
2093,"2024-05-20",105,34,30
2101,"2024-05-20",69,29,18
2089,"2024-05-20",89,31,29
2094,"2024-05-20",79,29,29
2096,"2024-05-20",93,34,31
2106,"2024-05-20",58,22,18
1990,"2024-05-20",79,25,21
349,"2024-06-17",68,15,20
1167,"2024-06-17",69,20,23
285,"2024-04-29",62,23,23
541,"2024-04-29",69,22,20
553,"2024-04-29",129,36,34
546,"2024-04-29",97,30,31
543,"2024-04-29",70,22,21
548,"2024-04-29",106,32,31
538,"2024-04-29",57,19,19
547,"2024-04-29",44,10,16
709,"2024-05-20",111,30,32
1404,"2024-05-20",58,25,27
53,"2024-04-29",61,23,26
1971,"2024-05-20",82,27,25
2081,"2024-05-20",100,27,29
1440,"2024-04-29",63,23,19
990,"2024-06-17",78,27,29
2617,"2024-06-17",106,34,31
2360,"2024-06-17",125,32,34
1805,"2024-04-29",103,25,25
1354,"2024-04-29",73,21,19
2398,"2024-06-17",124,34,33
1394,"2024-04-29",92,29,24
3081,"2024-08-12",122,33,30
1002,"2024-04-29",56,17,18
81,"2024-04-29",112,36,25
1209,"2024-04-29",99,25,25
1113,"2024-04-29",46,15,18
356,"2024-04-29",79,20,21
2805,"2024-08-12",126,32,29
2594,"2024-06-17",41,23,12
1389,"2024-04-29",110,27,28
2356,"2024-06-17",71,26,23
771,"2024-05-20",93,19,22
264,"2024-06-17",101,26,29
826,"2024-04-29",80,26,21
954,"2024-06-17",86,27,30
784,"2024-05-20",82,23,24
1117,"2024-04-29",65,17,21
1135,"2024-04-29",151,33,35
2010,"2024-05-20",74,25,20
2337,"2024-06-17",101,34,27
289,"2024-04-29",72,24,27
32,"2024-04-29",116,27,28
704,"2024-05-20",141,33,32
1867,"2024-06-17",106,34,29
1309,"2024-05-20",124,29,33
214,"2024-06-17",88,26,23
1313,"2024-05-20",61,20,29
772,"2024-05-20",95,23,24
1185,"2024-05-20",92,29,25
1531,"2024-05-20",121,35,23
927,"2024-04-29",92,19,24
1138,"2024-04-29",124,33,29
2512,"2024-06-17",144,33,24
1018,"2024-04-29",55,18,20
960,"2024-06-17",102,31,28
226,"2024-06-17",74,23,22
2563,"2024-06-17",63,20,19
571,"2024-04-29",92,27,23
3406,"2024-08-12",78,29,17
2514,"2024-06-17",108,30,24
228,"2024-06-17",79,21,20
413,"2024-05-20",108,28,21
3468,"2024-08-12",95,24,26
836,"2024-04-29",83,31,23
1139,"2024-04-29",51,28,21
936,"2024-04-29",83,22,24
567,"2024-04-29",87,25,27
989,"2024-06-17",96,30,29
2554,"2024-06-17",117,30,28
2562,"2024-06-17",136,34,33
92,"2024-04-29",147,36,30
1850,"2024-05-20",143,36,28
1382,"2024-04-29",84,23,21
3274,"2024-08-12",108,32,23
2253,"2024-06-17",109,31,35
281,"2024-06-17",78,25,24
2414,"2024-06-17",122,35,33
257,"2024-06-17",119,26,30
2372,"2024-06-17",126,34,35
363,"2024-04-29",78,18,19
3150,"2024-08-12",86,35,31
983,"2024-06-17",69,25,23
2268,"2024-06-17",99,31,29
982,"2024-06-17",72,26,24
2339,"2024-06-17",150,36,30
2526,"2024-06-17",71,27,23
721,"2024-05-20",115,33,28
2605,"2024-06-17",105,21,31
3428,"2024-08-12",93,24,21
1351,"2024-04-29",72,17,19
3359,"2024-08-12",123,27,25
2267,"2024-06-17",110,31,30
2254,"2024-06-17",122,36,36
1015,"2024-04-29",101,26,30
705,"2024-05-20",128,32,32
1306,"2024-05-20",108,29,33
1350,"2024-04-29",97,26,27
820,"2024-04-29",114,32,24
2596,"2024-06-17",63,29,18
14,"2024-06-17",113,24,27
1030,"2024-04-29",92,24,23
921,"2024-04-29",114,25,25
3259,"2024-08-12",136,35,28
1184,"2024-05-20",69,22,20
2399,"2024-06-17",110,32,32
1310,"2024-05-20",79,29,32
1960,"2024-05-20",112,33,29
1806,"2024-04-29",118,28,25
1856,"2024-05-20",115,31,26
3163,"2024-08-12",112,34,32
3013,"2024-08-12",140,36,32
626,"2024-06-17",72,20,23
2518,"2024-06-17",109,30,21
1476,"2024-05-20",81,28,26
3184,"2024-08-12",86,30,26
1371,"2024-06-17",123,33,31
3437,"2024-08-12",109,32,25
1179,"2024-05-20",87,18,23
1038,"2024-06-17",79,22,28
2377,"2024-06-17",121,32,34
3133,"2024-08-12",112,35,30
3167,"2024-08-12",78,32,21
831,"2024-04-29",94,26,21
391,"2024-06-17",96,22,23
1359,"2024-06-17",112,32,30
2391,"2024-06-17",133,33,32
1220,"2024-04-29",72,30,21
1365,"2024-06-17",94,29,29
2259,"2024-06-17",81,24,24
576,"2024-04-29",76,21,23
2358,"2024-06-17",118,32,35
997,"2024-04-29",63,22,17
1789,"2024-05-20",111,27,27
1021,"2024-04-29",79,25,23
1086,"2024-06-17",98,35,21
1480,"2024-05-20",87,28,26
1750,"2024-06-17",131,36,31
2602,"2024-06-17",98,31,24
1854,"2024-05-20",122,30,29
2413,"2024-06-17",102,31,28
834,"2024-04-29",105,32,26
1013,"2024-04-29",95,30,28
1866,"2024-06-17",133,36,31
1782,"2024-05-20",93,32,26
1300,"2024-05-20",148,35,33
3285,"2024-08-12",108,30,22
2371,"2024-06-17",110,32,35
814,"2024-04-29",107,32,25
1033,"2024-04-29",84,25,23
222,"2024-06-17",98,28,30
573,"2024-04-29",108,28,25
1875,"2024-06-17",153,36,31
1043,"2024-06-17",100,28,30
2609,"2024-06-17",40,26,11
3254,"2024-08-12",91,27,22
2266,"2024-06-17",127,36,35
3311,"2024-08-12",99,22,23
2249,"2024-06-17",104,31,32
1848,"2024-05-20",147,36,30
3342,"2024-08-12",155,36,35
1885,"2024-06-17",116,34,27
2397,"2024-06-17",146,35,30
2116,"2024-05-20",58,23,24
529,"2024-05-20",139,36,29
1483,"2024-05-20",86,28,26
3110,"2024-08-12",91,31,21
229,"2024-06-17",100,30,31
266,"2024-06-17",65,20,22
91,"2024-04-29",86,29,22
223,"2024-06-17",106,28,31
66,"2024-04-29",103,26,25
1751,"2024-06-17",106,35,29
3101,"2024-08-12",114,30,29
263,"2024-06-17",70,20,27
236,"2024-06-17",68,20,24
3449,"2024-08-12",99,27,16
267,"2024-06-17",108,28,31
396,"2024-06-17",67,24,22
2381,"2024-06-17",118,31,35
3280,"2024-08-12",102,32,22
774,"2024-05-20",85,28,26
3138,"2024-08-12",82,35,25
1022,"2024-04-29",83,25,23
1781,"2024-05-20",82,29,22
3339,"2024-08-12",156,36,33
3224,"2024-08-12",85,26,22
3192,"2024-08-12",112,31,26
2595,"2024-06-17",104,30,29
2146,"2024-04-29",83,26,23
269,"2024-06-17",105,29,30
2343,"2024-06-17",71,33,29
3361,"2024-08-12",116,31,27
1246,"2024-05-20",111,29,31
3288,"2024-08-12",140,33,27
357,"2024-04-29",80,23,19
3301,"2024-08-12",67,16,23
827,"2024-04-29",93,30,24
1249,"2024-05-20",125,34,34
1450,"2024-04-29",69,23,18
297,"2024-04-29",65,24,24
3015,"2024-08-12",99,31,25
268,"2024-06-17",110,28,31
94,"2024-04-29",142,33,26
1248,"2024-05-20",128,34,27
1879,"2024-06-17",110,34,27
1314,"2024-05-20",142,35,34
2393,"2024-06-17",128,31,32
569,"2024-04-29",68,22,20
3338,"2024-08-12",156,36,29
3373,"2024-08-12",88,29,21
3239,"2024-08-12",155,36,34
2395,"2024-06-17",118,35,30
503,"2024-05-20",96,19,24
643,"2024-06-17",67,24,25
934,"2024-04-29",76,23,23
2402,"2024-06-17",121,33,32
1247,"2024-05-20",75,22,19
273,"2024-06-17",111,24,24
2600,"2024-06-17",72,28,13
2403,"2024-06-17",125,34,33
1851,"2024-05-20",139,36,31
923,"2024-04-29",60,19,17
1434,"2024-04-29",74,24,20
1115,"2024-04-29",54,16,20
1443,"2024-04-29",65,18,20
2396,"2024-06-17",141,34,32
611,"2024-04-29",79,28,23
1387,"2024-04-29",77,20,19
84,"2024-04-29",118,32,24
395,"2024-06-17",92,23,26
1311,"2024-05-20",79,25,32
1299,"2024-05-20",84,30,28
274,"2024-06-17",67,20,23
1035,"2024-04-29",91,24,23
840,"2024-04-29",84,26,24
1368,"2024-06-17",88,29,23
3231,"2024-08-12",105,30,25
959,"2024-06-17",98,30,35
1016,"2024-04-29",77,24,28
225,"2024-06-17",73,24,22
3371,"2024-08-12",144,36,31
2366,"2024-06-17",98,32,34
3161,"2024-08-12",116,32,28
980,"2024-06-17",98,27,29
3249,"2024-08-12",135,29,27
2394,"2024-06-17",154,36,33
1876,"2024-06-17",117,34,27
3310,"2024-08-12",94,23,24
3130,"2024-08-12",118,35,32
835,"2024-04-29",118,34,28
641,"2024-06-17",69,19,20
713,"2024-05-20",131,32,32
1441,"2024-04-29",66,26,22
1485,"2024-05-20",77,26,25
2007,"2024-05-20",74,23,20
1888,"2024-06-17",109,34,27
3202,"2024-08-12",130,25,31
3106,"2024-08-12",79,26,20
3380,"2024-08-12",140,35,32
2352,"2024-06-17",100,34,29
1007,"2024-04-29",64,17,16
637,"2024-06-17",65,18,19
783,"2024-05-20",71,19,22
949,"2024-06-17",103,30,35
950,"2024-06-17",99,28,30
958,"2024-06-17",88,31,29
730,"2024-06-17",76,26,21
2368,"2024-06-17",112,32,35
3327,"2024-08-12",88,24,24
1527,"2024-05-20",121,35,29
383,"2024-06-17",153,26,28
3164,"2024-08-12",113,36,32
2255,"2024-06-17",99,31,31
28,"2024-06-17",99,23,25
1858,"2024-05-20",118,31,28
1388,"2024-04-29",86,23,20
2887,"2024-08-12",90,30,24
358,"2024-04-29",79,20,19
1361,"2024-06-17",122,29,33
770,"2024-05-20",98,24,23
1034,"2024-04-29",83,24,23
1221,"2024-04-29",92,27,24
1230,"2024-04-29",95,25,25
3272,"2024-08-12",121,31,26
1961,"2024-05-20",153,36,32
3238,"2024-08-12",89,24,27
1878,"2024-06-17",114,34,28
93,"2024-04-29",113,32,26
2341,"2024-06-17",135,35,31
12,"2024-06-17",108,27,27
3235,"2024-08-12",108,32,23
1446,"2024-04-29",70,22,22
3353,"2024-08-12",138,29,31
1308,"2024-05-20",89,26,30
3421,"2024-08-12",94,28,21
15,"2024-06-17",111,26,27
421,"2024-06-17",89,31,25
930,"2024-04-29",98,22,22
1517,"2024-05-20",118,34,29
262,"2024-06-17",121,30,31
2374,"2024-06-17",131,33,35
6,"2024-06-17",114,27,27
1373,"2024-06-17",97,28,32
1014,"2024-04-29",63,17,20
1353,"2024-04-29",99,24,24
507,"2024-05-20",115,29,26
828,"2024-04-29",105,31,24
235,"2024-06-17",79,22,24
3145,"2024-08-12",80,28,21
839,"2024-04-29",78,25,23
922,"2024-04-29",55,21,17
1011,"2024-04-29",57,18,18
372,"2024-06-17",156,25,34
1085,"2024-06-17",124,35,26
2590,"2024-06-17",58,29,16
279,"2024-06-17",45,22,21
1008,"2024-04-29",80,22,22
426,"2024-06-17",95,34,20
2355,"2024-06-17",104,30,30
260,"2024-06-17",95,26,31
2139,"2024-04-29",75,20,18
286,"2024-04-29",63,25,25
1514,"2024-05-20",120,34,29
3225,"2024-08-12",108,30,23
723,"2024-05-20",102,32,26
1883,"2024-06-17",112,34,28
3104,"2024-08-12",59,20,19
2345,"2024-06-17",102,35,31
717,"2024-05-20",99,35,28
2361,"2024-06-17",143,32,35
378,"2024-06-17",147,26,28
2525,"2024-06-17",67,27,21
3131,"2024-08-12",82,30,25
1305,"2024-05-20",65,20,31
261,"2024-06-17",102,30,31
710,"2024-05-20",129,33,34
1377,"2024-06-17",112,26,30
816,"2024-04-29",106,31,24
1372,"2024-06-17",87,27,28
3368,"2024-08-12",80,27,25
612,"2024-04-29",78,25,21
1752,"2024-06-17",136,36,31
2118,"2024-05-20",77,26,23
1451,"2024-04-29",52,23,21
981,"2024-06-17",98,27,29
3264,"2024-08-12",65,21,21
1229,"2024-04-29",72,27,25
11,"2024-06-17",100,24,26
1523,"2024-05-20",57,25,20
3370,"2024-08-12",141,36,31
714,"2024-05-20",121,31,33
715,"2024-05-20",126,34,35
869,"2024-06-17",85,30,30
566,"2024-04-29",88,26,24
1913,"2024-05-20",111,30,25
373,"2024-06-17",153,25,34
638,"2024-06-17",81,22,22
2338,"2024-06-17",67,34,28
408,"2024-06-17",88,31,21
1886,"2024-06-17",101,33,27
294,"2024-04-29",69,24,27
1959,"2024-05-20",154,35,28
3109,"2024-08-12",72,18,19
708,"2024-05-20",122,32,34
1962,"2024-05-20",130,34,32
2344,"2024-06-17",107,35,31
812,"2024-04-29",97,31,26
1456,"2024-04-29",65,23,17
2597,"2024-06-17",34,26,8
1304,"2024-05-20",85,25,32
296,"2024-04-29",81,24,28
829,"2024-04-29",62,30,24
387,"2024-06-17",107,25,26
362,"2024-04-29",78,18,19
1862,"2024-05-20",112,29,31
1519,"2024-05-20",67,29,21
1376,"2024-06-17",85,23,30
2409,"2024-06-17",111,29,29
991,"2024-06-17",71,26,24
3375,"2024-08-12",104,26,27
79,"2024-04-29",112,33,29
1809,"2024-04-29",106,23,25
272,"2024-06-17",44,17,16
3498,"2024-08-12",97,26,23
1857,"2024-05-20",116,33,29
3358,"2024-08-12",59,18,20
1882,"2024-06-17",114,34,27
2362,"2024-06-17",106,32,34
3190,"2024-08-12",124,31,31
3112,"2024-08-12",140,35,34
